annee,tour,departement,departement_nom,nuance,famille_politique,inscrits,votants,abstentions,exprimes,voix,taux_participation,taux_abstention,pct_exprimes,pct_inscrits,ancien_midi_pyrenees,ancien_languedoc_roussillon,typologie
1993,1,48,Lozère,FRN,Extrême droite,56920,43792,13128,41914,2341,76.94,23.06,5.59,4.11,False,True,Rural
1993,1,48,Lozère,GEC,Autres,56920,43792,13128,41914,1113,76.94,23.06,2.66,1.96,False,True,Rural
1993,1,48,Lozère,DIV,Autres,56920,43792,13128,41914,817,76.94,23.06,1.95,1.44,False,True,Rural
1993,1,48,Lozère,VEC,Écologie,56920,43792,13128,41914,812,76.94,23.06,1.94,1.43,False,True,Rural
1993,1,65,Hautes-Pyrénées,UDF,Autres,173057,120856,52201,112949,43620,69.84,30.16,38.62,25.21,True,False,Rural
1993,1,65,Hautes-Pyrénées,SOC,Autres,173057,120856,52201,112949,19843,69.84,30.16,17.57,11.47,True,False,Rural
1993,1,65,Hautes-Pyrénées,COM,Autres,173057,120856,52201,112949,14526,69.84,30.16,12.86,8.39,True,False,Rural
1993,1,65,Hautes-Pyrénées,RDG,Autres,173057,120856,52201,112949,9642,69.84,30.16,8.54,5.57,True,False,Rural
1993,1,65,Hautes-Pyrénées,FRN,Extrême droite,173057,120856,52201,112949,8281,69.84,30.16,7.33,4.79,True,False,Rural
1993,1,65,Hautes-Pyrénées,RPR,Droite,173057,120856,52201,112949,4489,69.84,30.16,3.97,2.59,True,False,Rural
1993,1,65,Hautes-Pyrénées,GEC,Autres,173057,120856,52201,112949,4454,69.84,30.16,3.94,2.57,True,False,Rural
1993,1,65,Hautes-Pyrénées,DIV,Autres,173057,120856,52201,112949,3588,69.84,30.16,3.18,2.07,True,False,Rural
1993,1,65,Hautes-Pyrénées,VEC,Écologie,173057,120856,52201,112949,2003,69.84,30.16,1.77,1.16,True,False,Rural
1993,1,65,Hautes-Pyrénées,DVD,Droite,173057,120856,52201,112949,1351,69.84,30.16,1.2,0.78,True,False,Rural
1993,1,66,Pyrénées-Orientales,RPR,Droite,265086,176993,88093,166642,32712,66.77,33.23,19.63,12.34,False,True,Rural
1993,1,66,Pyrénées-Orientales,FRN,Extrême droite,265086,176993,88093,166642,30552,66.77,33.23,18.33,11.53,False,True,Rural
1993,1,66,Pyrénées-Orientales,SOC,Autres,265086,176993,88093,166642,30368,66.77,33.23,18.22,11.46,False,True,Rural
1993,1,66,Pyrénées-Orientales,UDF,Autres,265086,176993,88093,166642,27590,66.77,33.23,16.56,10.41,False,True,Rural
1993,1,66,Pyrénées-Orientales,COM,Autres,265086,176993,88093,166642,19335,66.77,33.23,11.6,7.29,False,True,Rural
1993,1,66,Pyrénées-Orientales,VEC,Écologie,265086,176993,88093,166642,5860,66.77,33.23,3.52,2.21,False,True,Rural
1993,1,66,Pyrénées-Orientales,DVD,Droite,265086,176993,88093,166642,5031,66.77,33.23,3.02,1.9,False,True,Rural
1993,1,66,Pyrénées-Orientales,GEC,Autres,265086,176993,88093,166642,4723,66.77,33.23,2.83,1.78,False,True,Rural
1993,1,66,Pyrénées-Orientales,DIV,Autres,265086,176993,88093,166642,4579,66.77,33.23,2.75,1.73,False,True,Rural
1993,1,66,Pyrénées-Orientales,REG,Autres,265086,176993,88093,166642,2664,66.77,33.23,1.6,1.0,False,True,Rural
1993,1,66,Pyrénées-Orientales,MAJ,Autres,265086,176993,88093,166642,1136,66.77,33.23,0.68,0.43,False,True,Rural
1993,1,66,Pyrénées-Orientales,EXD,Autres,265086,176993,88093,166642,123,66.77,33.23,0.07,0.05,False,True,Rural
1993,1,81,Tarn,RPR,Droite,256588,192610,63978,178874,51461,75.07,24.93,28.77,20.06,True,False,Rural
1993,1,81,Tarn,SOC,Autres,256588,192610,63978,178874,40556,75.07,24.93,22.67,15.81,True,False,Rural
1993,1,81,Tarn,UDF,Autres,256588,192610,63978,178874,22792,75.07,24.93,12.74,8.88,True,False,Rural
1993,1,81,Tarn,FRN,Extrême droite,256588,192610,63978,178874,20594,75.07,24.93,11.51,8.03,True,False,Rural
1993,1,81,Tarn,COM,Autres,256588,192610,63978,178874,13931,75.07,24.93,7.79,5.43,True,False,Rural
1993,1,81,Tarn,RDG,Autres,256588,192610,63978,178874,8296,75.07,24.93,4.64,3.23,True,False,Rural
1993,1,81,Tarn,VEC,Écologie,256588,192610,63978,178874,7143,75.07,24.93,3.99,2.78,True,False,Rural
1993,1,81,Tarn,DIV,Autres,256588,192610,63978,178874,7090,75.07,24.93,3.96,2.76,True,False,Rural
1993,1,81,Tarn,GEC,Autres,256588,192610,63978,178874,5370,75.07,24.93,3.0,2.09,True,False,Rural
1993,1,81,Tarn,EXD,Autres,256588,192610,63978,178874,913,75.07,24.93,0.51,0.36,True,False,Rural
1993,1,82,Tarn-et-Garonne,UDF,Autres,149424,110792,38632,103608,25664,74.15,25.85,24.77,17.18,True,False,Rural
1993,1,82,Tarn-et-Garonne,RDG,Autres,149424,110792,38632,103608,14435,74.15,25.85,13.93,9.66,True,False,Rural
1993,1,82,Tarn-et-Garonne,FRN,Extrême droite,149424,110792,38632,103608,12403,74.15,25.85,11.97,8.3,True,False,Rural
1993,1,82,Tarn-et-Garonne,SOC,Autres,149424,110792,38632,103608,12334,74.15,25.85,11.9,8.25,True,False,Rural
1993,1,82,Tarn-et-Garonne,RPR,Droite,149424,110792,38632,103608,11379,74.15,25.85,10.98,7.62,True,False,Rural
1993,1,82,Tarn-et-Garonne,COM,Autres,149424,110792,38632,103608,7376,74.15,25.85,7.12,4.94,True,False,Rural
1993,1,82,Tarn-et-Garonne,DVD,Droite,149424,110792,38632,103608,5906,74.15,25.85,5.7,3.95,True,False,Rural
1993,1,82,Tarn-et-Garonne,DIV,Autres,149424,110792,38632,103608,3611,74.15,25.85,3.49,2.42,True,False,Rural
1993,1,82,Tarn-et-Garonne,GEC,Autres,149424,110792,38632,103608,3501,74.15,25.85,3.38,2.34,True,False,Rural
1993,1,82,Tarn-et-Garonne,VEC,Écologie,149424,110792,38632,103608,3484,74.15,25.85,3.36,2.33,True,False,Rural
1993,1,82,Tarn-et-Garonne,MAJ,Autres,149424,110792,38632,103608,660,74.15,25.85,0.64,0.44,True,False,Rural
1993,2,9,Ariège,DVD,Droite,108170,80806,27364,74900,35138,74.7,25.3,46.91,32.48,True,False,Rural
